iterations;loss_weights;depth;width;activation;length;duration;N_x;N_t;gamma;epsilon;lr;IC;BC;batch_sizes(eq,ic,bc);avg_l2_error;avg_l2_error_phase;dx;dt;w/l;dt/dx
15000;(1,10,10);5;48;tanh;10;2,5;512;256;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);1ds;Neumann0;(1024,512,512);0,00224;;0,0390625;0,009765625;;
15000;(1,1,0);6;48;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,044712;0,03308253;0,033333333;0,028;8;0,84
15000;(1,1,0);6;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,113062;0,0961;0,033333333;0,028;4;0,84
15000;(1,1,0);6;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,159515;0,0866;0,033333333;0,028;16;0,84
15000;(1,1,0);4;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,107872;0,0557;0,033333333;0,028;24;0,84
15000;(1,1,0);4;48;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,113331;0,0923;0,033333333;0,028;12;0,84
15000;(1,1,0);8;48;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,036494;0,053474;0,033333333;0,028;6;0,84
15000;(1,1,0);10;48;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,116232;0,0651;0,033333333;0,028;4,8;0,84
15000;(1,1,0);6;72;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,125583;0,054729;0,033333333;0,028;12;0,84
15000;(1,1,0);10;72;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,477412;0,095306;0,033333333;0,028;7,2;0,84
15000;(1,1,0);8;72;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,150027;0,064827;0,033333333;0,028;9;0,84
15000;(1,1,0);14;72;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,103467;0,195696;0,033333333;0,028;5,142857143;0,84
15000;(1,1,0);14;48;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,134734;0,134181;0,033333333;0,028;3,428571429;0,84
15000;(1,1,0);8;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,227973;0,122744;0,033333333;0,028;12;0,84
